date,cfd,direction,mode,entry,exit,pnlPts,pnlDollars,durationMin,exitReason,maxAdverse,maxFavorable,id
2025-01-07,XAUUSD,LONG,swing,2647.6208870967744,2648.49,0.87,0.87,405,eod,2.93,8.48,2025-01-07-1645-XAUUSD-LONG-2648
2025-01-08,NAS100,SHORT,scalp,21173.100000000002,21168.100000000002,5,0.5,495,trail,28.1,47.5,2025-01-08-0100-NAS100-SHORT-21173
2025-01-10,NAS100,SHORT,scalp,21045,21040,5,0.5,210,trail,3.5,93.8,2025-01-10-0100-NAS100-SHORT-21045
2025-01-10,US30,SHORT,scalp,42372.5,42442.5,-70,-7,195,sl,76.1,34.1,2025-01-10-0230-US30-SHORT-42373
2025-01-13,US30,SHORT,swing,41755.949292452824,41825.949292452824,-70,-2.1,90,sl,71.25,31.75,2025-01-13-1300-US30-SHORT-41756
2025-01-13,US30,SHORT,swing,42063.77358490566,42133.77358490566,-70,-2.1,60,sl,90.73,26.47,2025-01-13-1900-US30-SHORT-42064
2025-01-14,US30,SHORT,scalp,42272.8,42267.8,5,0.5,870,trail,191.8,63.5,2025-01-14-0100-US30-SHORT-42273
2025-01-14,NAS100,SHORT,swing,20679,20785.5,-106.5,-3.19,150,sl,116.9,100.7,2025-01-14-1815-NAS100-SHORT-20679
2025-01-15,NAS100,SHORT,scalp,20744.8,20739.8,5,0.5,75,trail,0.7,17,2025-01-15-0100-NAS100-SHORT-20745
2025-01-15,NAS100,SHORT,intraday,20727.3,20760.481842105262,-33.18,-3.32,420,sl,34.2,28.2,2025-01-15-0445-NAS100-SHORT-20727
2025-01-15,NAS100,SHORT,intraday,20756.4,20751.4,5,0.5,60,trail,5.1,33.5,2025-01-15-1130-NAS100-SHORT-20756
2025-01-15,US30,SHORT,swing,42961.376,43077.7,-116.32,-3.49,45,sl,122.82,0,2025-01-15-1815-US30-SHORT-42961
2025-01-15,NAS100,SHORT,intraday,21101.8,21135.310350877193,-33.51,-3.35,30,sl,49.6,16.9,2025-01-15-1900-NAS100-SHORT-21102
2025-01-15,NAS100,SHORT,intraday,21112.2,21145.719473684214,-33.52,-3.35,15,sl,41,0.3,2025-01-15-1945-NAS100-SHORT-21112
2025-01-15,NAS100,SHORT,intraday,21166.3,21166.2,0.1,0.01,15,eod,4.1,6.4,2025-01-15-2330-NAS100-SHORT-21166
2025-02-13,XAUUSD,SHORT,scalp,2904.11,2912.11,-8,-8,255,sl,13.08,3.59,2025-02-13-0100-XAUUSD-SHORT-2904
2025-02-13,XAUUSD,SHORT,scalp,2908.76,2906.76,2,2,75,trail,0.25,7.38,2025-02-13-0230-XAUUSD-SHORT-2909
2025-02-13,XAUUSD,SHORT,swing,2906.33,2914.33,-8,-8,75,sl,10.86,0.03,2025-02-13-0400-XAUUSD-SHORT-2906
2025-02-13,XAUUSD,SHORT,swing,2914.08,2922.08,-8,-8,735,sl,11.29,8.5,2025-02-13-0830-XAUUSD-SHORT-2914
2025-02-13,XAUUSD,SHORT,swing,2916.18,2924.18,-8,-8,690,sl,9.19,10.6,2025-02-13-0915-XAUUSD-SHORT-2916
2025-02-13,XAUUSD,SHORT,swing,2911.74,2919.74,-8,-8,195,sl,8.63,1.8,2025-02-13-1045-XAUUSD-SHORT-2912
2025-02-13,XAUUSD,SHORT,swing,2919.6,2917.6,2,2,150,trail,0.63,14.02,2025-02-13-1430-XAUUSD-SHORT-2920
2025-02-21,US30,SHORT,swing,43832.626046511636,43628.27813953489,204.35,6.13,180,tp1,42.17,233.33,2025-02-21-1515-US30-SHORT-43833
2025-02-21,US30,SHORT,swing,43648.35558139535,43444.866744186045,203.49,6.1,45,tp1,0,209.26,2025-02-21-1900-US30-SHORT-43648
2025-02-21,US30,SHORT,swing,43458.797441860464,43366.4,92.4,2.77,210,eod,40.3,153.7,2025-02-21-1945-US30-SHORT-43459
2025-02-21,US30,SHORT,swing,43302.162558139535,43372.162558139535,-70,-2.1,30,sl,110.94,0,2025-02-21-2030-US30-SHORT-43302
2025-02-24,US30,SHORT,scalp,43482.5,43598.857808857814,-116.36,-11.64,225,sl,118.5,6.3,2025-02-24-0100-US30-SHORT-43483
2025-02-24,US30,SHORT,scalp,43519.5,43635.944055944055,-116.44,-11.64,390,sl,120,3.8,2025-02-24-0145-US30-SHORT-43520
2025-02-24,US30,SHORT,scalp,43547.7,43664.20979020978,-116.51,-11.65,510,sl,162.2,33.3,2025-02-24-0230-US30-SHORT-43548
2025-02-24,US30,SHORT,swing,43604.5,43721.142191142186,-116.64,-3.5,405,sl,122.9,90.1,2025-02-24-0615-US30-SHORT-43605
2025-02-24,US30,SHORT,scalp,43615,43610,5,0.5,180,trail,24.5,100.6,2025-02-24-0745-US30-SHORT-43615
2025-02-24,US30,SHORT,swing,43578.4,43694.981351981354,-116.58,-3.5,105,sl,131.5,64,2025-02-24-0915-US30-SHORT-43578
2025-02-24,US30,SHORT,swing,43718.9,43515.08228438229,203.82,6.11,165,tp1,6,231.5,2025-02-24-1345-US30-SHORT-43719
2025-02-24,US30,SHORT,swing,43694.4,43490.69650349651,203.7,6.11,120,tp1,12,207,2025-02-24-1430-US30-SHORT-43694
2025-02-24,US30,SHORT,swing,43657.6,43454.06806526806,203.53,6.11,90,tp1,5,230.9,2025-02-24-1515-US30-SHORT-43658
2025-02-24,US30,SHORT,swing,43427.7,43543.930069930066,-116.23,-3.49,90,sl,157,100,2025-02-24-1645-US30-SHORT-43428
2025-02-24,US30,SHORT,swing,43438.7,43554.955710955706,-116.26,-3.49,45,sl,146,74.5,2025-02-24-1730-US30-SHORT-43439
2025-02-24,US30,SHORT,swing,43562.7,43679.24475524475,-116.54,-3.5,165,sl,121.2,46.5,2025-02-24-1815-US30-SHORT-43563
2025-02-27,XAUUSD,SHORT,swing,2896.167849056604,2876.86,19.31,19.31,750,eod,0,28.45,2025-02-27-1000-XAUUSD-SHORT-2896
2025-02-27,XAUUSD,SHORT,swing,2892.202943396226,2876.86,15.34,15.34,750,eod,2.88,24.48,2025-02-27-1045-XAUUSD-SHORT-2892
2025-02-27,XAUUSD,SHORT,swing,2883.1790188679242,2881.1790188679242,2,2,150,trail,0,12.79,2025-02-27-1645-XAUUSD-SHORT-2883
2025-03-03,NAS100,SHORT,scalp,20977.2,20796.362068965518,180.84,18.08,90,tp1,0,190.2,2025-03-03-0100-NAS100-SHORT-20977
2025-03-03,NAS100,SHORT,scalp,20914.7,20909.7,5,0.5,135,trail,2.5,127.7,2025-03-03-0145-NAS100-SHORT-20915
2025-03-03,NAS100,SHORT,scalp,20834.4,20829.4,5,0.5,45,trail,31.7,23.3,2025-03-03-0230-NAS100-SHORT-20834
2025-03-03,NAS100,SHORT,swing,20858.5,20898.5,-40,-1.2,30,sl,40.4,24.5,2025-03-03-0315-NAS100-SHORT-20859
2025-03-03,NAS100,SHORT,swing,20896.2,20891.2,5,0.15,135,trail,5.8,65,2025-03-03-0400-NAS100-SHORT-20896
2025-03-03,NAS100,SHORT,swing,20876.6,20916.6,-40,-1.2,15,sl,49.7,4.3,2025-03-03-0915-NAS100-SHORT-20877
2025-03-03,NAS100,SHORT,swing,20934.6,20974.6,-40,-1.2,105,sl,42.7,3.6,2025-03-03-1130-NAS100-SHORT-20935
2025-03-03,NAS100,SHORT,swing,21023.5,21063.5,-40,-1.2,30,sl,44,133.4,2025-03-03-1600-NAS100-SHORT-21024
2025-03-03,NAS100,SHORT,swing,20788.8,20828.8,-40,-1.2,15,sl,56.1,80.3,2025-03-03-1645-NAS100-SHORT-20789
2025-03-03,NAS100,SHORT,swing,20638.7,20678.7,-40,-1.2,15,sl,77,19.5,2025-03-03-2030-NAS100-SHORT-20639
2025-03-03,NAS100,SHORT,swing,20662.1,20702.1,-40,-1.2,15,sl,103.4,3.1,2025-03-03-2115-NAS100-SHORT-20662
2025-03-03,NAS100,SHORT,swing,20408.6,20448.6,-40,-1.2,15,sl,40,100.2,2025-03-03-2200-NAS100-SHORT-20409
2025-03-03,NAS100,SHORT,swing,20420,20460,-40,-1.2,15,sl,40.4,7.9,2025-03-03-2245-NAS100-SHORT-20420
2025-03-03,NAS100,SHORT,swing,20475.2,20474.2,1,0.03,15,eod,3.9,11.6,2025-03-03-2330-NAS100-SHORT-20475
